"from_stop_id","to_stop_id","transfer_type","min_transfer_time"
"1012-2510959","1012-2510958","0",""
"1012-2510959","1012-2510960","0",""
"1012-2510959","1012-2510970","0",""
"1012-2510960","1012-2510958","0",""
"1012-2510962","1012-2510958","0",""
"1012-2510962","1012-2510960","0",""
"1012-2510962","1012-2510967","0",""
"1012-2510963","1012-2510959","0",""
"1012-2510963","1012-2510966","0",""
"1012-2510966","1012-2510970","0",""
"1012-2510967","1012-2510962","0",""
"1012-2510969","1012-2510960","0",""
"1012-2510970","1012-2510959","0",""
"1012-2510970","1012-2510962","0",""
"1012-2510971","1012-2510959","0",""
"1012-2511002","1012-2511003","0",""
"1012-2511002","1012-2511004","0",""
"1012-2511003","1012-2511004","0",""
"1012-2511003","1012-2511006","0",""
"1012-2511004","1012-2511003","0",""
"1012-2511004","1012-2511005","0",""
"1012-2511004","1012-2511006","0",""
"1012-2511005","1012-2511003","0",""
"1012-2511005","1012-2511004","0",""
"1012-2511005","1012-2511006","0",""
"1012-2511006","1012-2511003","0",""
"1012-2511010","1012-2511018","0",""
"1012-2511011","1012-2511012","0",""
"1012-2511012","1012-2511011","0",""
"1012-2511013","1012-2511014","0",""
"1012-2511014","1012-2511013","0",""
"1012-2511015","1012-2511016","0",""
"1012-2511015","1012-2511017","0",""
"1012-2511016","1012-2511015","0",""
"1012-2511017","1012-2511018","0",""
"1012-2511082","1012-2511083","0",""
"1012-2511083","1012-2511082","0",""
"1012-2511099","1012-2511101","3",""
"1012-2511102","1012-2511098","3",""
"1012-2511141","1012-2511144","0",""
"1012-2511141","1012-2511146","0",""
"1012-2511144","1012-2511146","0",""
"1012-2511145","1012-2511146","0",""
"1012-2511146","1012-2511141","0",""
"1012-2511146","1012-2511145","0",""
"1012-2511149","1012-2511140","3",""
"1012-2511183","1012-2511184","0",""
"1012-2511184","1012-2511183","0",""
"1012-2511212","1012-2511214","0",""
"1012-2511214","1012-2511212","0",""
"1012-2511215","1012-2511216","0",""
"1012-2511216","1012-2511215","0",""
"1012-2511238","1012-2511241","0",""
"1012-2511238","1012-2511242","0",""
"1012-2511238","1012-2511243","0",""
"1012-2511238","1012-2511245","0",""
"1012-2511238","1012-2511246","0",""
"1012-2511241","1012-2511245","0",""
"1012-2511241","1012-2511246","0",""
"1012-2511241","1012-2511248","0",""
"1012-2511242","1012-2511246","0",""
"1012-2511243","1012-2511246","0",""
"1012-2511243","1012-2511249","0",""
"1012-2511243","1012-2511250","0",""
"1012-2511246","1012-2511243","0",""
"1012-2511246","1012-2511245","0",""
"1012-2511246","1012-2511249","0",""
"1012-2511249","1012-2511243","0",""
"1012-2511249","1012-2511245","0",""
"1012-2511251","1012-2511245","0",""
"1012-2511252","1012-2511245","0",""
"1012-2511253","1012-2511245","0",""
"1012-2511272","1012-2511273","0",""
"1012-2511273","1012-2511274","0",""
"1012-2511273","1012-2511275","0",""
"1012-2511273","1012-2511276","0",""
"1012-2511274","1012-2511273","0",""
"1012-2511274","1012-2511275","0",""
"1012-2511274","1012-2511276","0",""
"1012-2511275","1012-2511273","0",""
"1012-2511275","1012-2511274","0",""
"1012-2511275","1012-2511276","0",""
"1012-2511276","1012-2511273","0",""
"1012-2511276","1012-2511275","0",""
"1012-2511483","1012-2511482","0",""
"1012-2511530","1012-2511536","0",""
"1012-2511531","1012-2511532","0",""
"1012-2511531","1012-2511533","0",""
"1012-2511531","1012-2511536","0",""
"1012-2511531","1012-2511537","0",""
"1012-2511532","1012-2511531","0",""
"1012-2511532","1012-2511533","0",""
"1012-2511532","1012-2511536","0",""
"1012-2511532","1012-2511537","0",""
"1012-2511533","1012-2511531","0",""
"1012-2511533","1012-2511532","0",""
"1012-2511533","1012-2511536","0",""
"1012-2511533","1012-2511537","0",""
"1012-2511536","1012-2511531","0",""
"1012-2511536","1012-2511532","0",""
"1012-2511536","1012-2511533","0",""
"1012-2511536","1012-2511537","0",""
"1012-2511537","1012-2511531","0",""
"1012-2511537","1012-2511532","0",""
"1012-2511537","1012-2511533","0",""
"1012-2511537","1012-2511536","0",""
"1012-2511611","1012-2511612","0",""
"1012-2511611","1012-2511613","0",""
"1012-2511612","1012-2511611","0",""
"1012-2511613","1012-2511611","0",""
"1012-2511614","1012-2511612","0",""
"1012-2511614","1012-2511613","0",""
"1012-2511662","1012-2511663","0",""
"1012-2511662","1012-2511665","0",""
"1012-2511663","1012-2511662","0",""
"1012-2511664","1012-2511668","0",""
"1012-2511664","1012-2511669","0",""
"1012-2511664","1012-2511670","0",""
"1012-2511665","1012-2511662","0",""
"1012-2511669","1012-2511663","3",""
"1012-2511669","1012-2511670","0",""
"1012-2511866","1012-2511869","0",""
"1012-2511866","1012-2511870","0",""
"1012-2511867","1012-2511866","0",""
"1012-2511867","1012-2511870","0",""
"1012-2511869","1012-2511866","0",""
"1012-2511869","1012-2511870","0",""
"1012-2511870","1012-2511866","0",""
"1012-2511870","1012-2511867","0",""
"1012-2511888","1012-2511889","0",""
"1012-2511889","1012-2511888","0",""
"1012-2511894","1012-2511895","0",""
"1012-2511894","1012-2511896","0",""
"1012-2511894","1012-2511897","0",""
"1012-2511894","1012-2511905","0",""
"1012-2511894","1012-2511906","0",""
"1012-2511895","1012-2511894","0",""
"1012-2511895","1012-2511896","0",""
"1012-2511895","1012-2511897","0",""
"1012-2511895","1012-2511905","0",""
"1012-2511895","1012-2511906","0",""
"1012-2511896","1012-2511894","0",""
"1012-2511896","1012-2511895","0",""
"1012-2511896","1012-2511897","0",""
"1012-2511896","1012-2511898","0",""
"1012-2511897","1012-2511894","0",""
"1012-2511897","1012-2511895","0",""
"1012-2511899","1012-2511896","0",""
"1012-2511901","1012-2511902","0",""
"1012-2511901","1012-2511904","0",""
"1012-2511902","1012-2511901","0",""
"1012-2511902","1012-2511903","0",""
"1012-2511902","1012-2511904","0",""
"1012-2511903","1012-2511901","0",""
"1012-2511903","1012-2511902","0",""
"1012-2511903","1012-2511904","0",""
"1012-2511903","1012-2511905","0",""
"1012-2511903","1012-2511906","0",""
"1012-2511904","1012-2511901","0",""
"1012-2511904","1012-2511902","0",""
"1012-2511904","1012-2511903","0",""
"1012-2511904","1012-2511905","0",""
"1012-2511904","1012-2511906","0",""
"1012-2511905","1012-2511894","0",""
"1012-2511905","1012-2511895","0",""
"1012-2511905","1012-2511903","0",""
"1012-2511905","1012-2511904","0",""
"1012-2511905","1012-2511906","0",""
"1012-2511906","1012-2511894","0",""
"1012-2511906","1012-2511895","0",""
"1012-2511906","1012-2511903","0",""
"1012-2511906","1012-2511904","0",""
"1012-2511906","1012-2511905","0",""
"1012-2511958","1012-2511959","0",""
"1012-2511959","1012-2511958","0",""
"1012-2511979","1012-2511981","0",""
"1012-2511979","1012-2511982","0",""
"1012-2511981","1012-2511979","0",""
"1012-2511981","1012-2511982","0",""
"1012-2511981","1012-2511983","0",""
"1012-2511982","1012-2511979","0",""
"1012-2511982","1012-2511981","0",""
"1012-2511982","1012-2511983","0",""
"1012-2511983","1012-2511981","0",""
"1012-2511983","1012-2511982","0",""
"1012-2512031","1012-2512034","0",""
"1012-2512032","1012-2512031","0",""
"1012-2512032","1012-2512035","0",""
"1012-2512034","1012-2512031","0",""
"1012-2512034","1012-2512032","0",""
"1012-2512035","1012-2512032","0",""
"1012-2512075","1012-2512074","0",""
"1012-2512076","1012-2512074","0",""
"1012-2512076","1012-2512075","0",""
"1012-2512200","1012-2512201","0",""
"1012-2512201","1012-2512200","0",""
"1012-2512202","1012-2512203","0",""
"1012-2512203","1012-2512202","0",""
"1012-2512250","1012-2512249","0",""
"1012-2512250","1012-2512251","0",""
"1012-2512256","1012-2512252","0",""
"1012-2512257","1012-2512252","0",""
"1012-2512285","1012-2512286","0",""
"1012-2512286","1012-2512285","0",""
"1012-2512330","1012-2512331","0",""
"1012-2512367","1012-2512368","0",""
"1012-2512374","1012-2512375","0",""
"1012-2512375","1012-2512374","0",""
"1012-2512376","1012-2512377","0",""
"1012-2512377","1012-2512376","0",""
"1012-2512439","1012-2512440","0",""
"1012-2512440","1012-2512439","1",""
"1012-2512441","1012-2512439","1",""
"1012-2512441","1012-2512442","0",""
"1012-2512442","1012-2512441","0",""
"1012-2512455","1012-2512470","0",""
"1012-2512456","1012-2512457","0",""
"1012-2512457","1012-2512456","0",""
"1012-2512461","1012-2512459","0",""
"1012-2512461","1012-2512460","0",""
"1012-2512462","1012-2512456","0",""
"1012-2512462","1012-2512463","0",""
"1012-2512463","1012-2512467","0",""
"1012-2512466","1012-2512463","0",""
"1012-2512467","1012-2512462","0",""
"1012-2512467","1012-2512463","0",""
"1012-2512467","1012-2512470","0",""
"1012-2512467","1012-2512473","0",""
"1012-2512470","1012-2512463","0",""
"1012-2512470","1012-2512473","0",""
"1012-2512470","1012-2512474","0",""
"1012-2512473","1012-2512463","0",""
"1012-2512473","1012-2512470","0",""
"1012-2512474","1012-2512475","0",""
"1012-2512491","1012-2512493","0",""
"1012-2512493","1012-2512491","0",""
"1012-2512493","1012-2512492","0",""
"1012-2512523","1012-2512524","0",""
"1012-2512524","1012-2512523","0",""
"1012-2547923","1012-2510114","0",""
"1012-2628138","1012-2628139","0",""
"1012-2628138","1012-2628149","0",""
"1012-2628139","1012-2628138","0",""
"1012-2628139","1012-2628149","0",""
"1012-2628140","1012-2628142","0",""
"1012-2628140","1012-2628147","0",""
"1012-2628142","1012-2628143","0",""
"1012-2628142","1012-2628145","0",""
"1012-2628142","1012-2628147","0",""
"1012-2628143","1012-2628142","0",""
"1012-2628143","1012-2628147","0",""
"1012-2628145","1012-2628147","0",""
"1012-2628145","1012-2628148","0",""
"1012-2628145","1012-2628149","0",""
"1012-2628146","1012-2628145","0",""
"1012-2628146","1012-2628147","0",""
"1012-2628146","1012-2628149","0",""
"1012-2628147","1012-2628140","0",""
"1012-2628147","1012-2628146","0",""
"1012-2628147","1012-2628149","0",""
"1012-2628148","1012-2628138","0",""
"1012-2628148","1012-2628139","0",""
"1012-2628148","1012-2628146","0",""
"1012-2628148","1012-2628147","0",""
"1012-2628148","1012-2628149","0",""
"1012-2628149","1012-2628138","0",""
"1012-2628149","1012-2628139","0",""
"1012-2628149","1012-2628145","0",""
"1012-2628149","1012-2628146","0",""
"1012-2628149","1012-2628148","0",""
"1012-2628168","1012-2628167","0",""
"1012-2628170","1012-2628169","0",""
"1012-2628178","1012-2628177","0",""
"1012-2628185","1012-2628183","3",""
"1012-2628188","1012-2628183","3",""
"1012-2628189","1012-2628184","0",""
"1012-2628196","1012-2628198","0",""
"1012-2628197","1012-2628198","0",""
"1012-2628197","1012-2628199","0",""
"1012-2628197","1012-2628200","0",""
"1012-2628198","1012-2628197","0",""
"1012-2628198","1012-2628199","0",""
"1012-2628198","1012-2628200","0",""
"1012-2628199","1012-2628198","0",""
"1012-2628199","1012-2628200","0",""
"1012-2628200","1012-2628198","0",""
"1012-2628200","1012-2628199","0",""
"1012-2628223","1012-2628224","0",""
"1012-2628224","1012-2628223","0",""
"1012-2628236","1012-2628237","3",""
"1012-2628236","1012-2628239","3",""
"1012-2628236","1012-2628240","3",""
"1012-2628236","1012-2628241","3",""
"1012-2628237","1012-2628238","0",""
"1012-2628238","1012-2628237","0",""
"1012-2628239","1012-2628240","0",""
"1012-2628239","1012-2628241","0",""
"1012-2628239","1012-2628242","0",""
"1012-2628239","1012-2628245","3",""
"1012-2628240","1012-2628239","0",""
"1012-2628240","1012-2628245","3",""
"1012-2628241","1012-2628239","0",""
"1012-2628241","1012-2628240","0",""
"1012-2628241","1012-2628242","0",""
"1012-2628241","1012-2628244","0",""
"1012-2628242","1012-2628239","0",""
"1012-2628242","1012-2628240","0",""
"1012-2628242","1012-2628241","0",""
"1012-2628242","1012-2628244","0",""
"1012-2628242","1012-2628245","3",""
"1012-2628243","1012-2628241","0",""
"1012-2628243","1012-2628242","0",""
"1012-2628243","1012-2628244","0",""
"1012-2628243","1012-2628245","3",""
"1012-2628244","1012-2628236","3",""
"1012-2628244","1012-2628241","0",""
"1012-2628244","1012-2628242","0",""
"1012-2628244","1012-2628243","0",""
"1012-2628245","1012-2628237","3",""
"1012-2628245","1012-2628243","3",""
"1012-2628245","1012-2628244","3",""
"1012-2628254","1012-2628253","0",""
"1012-2628255","1012-2628254","0",""
"1012-2628272","1012-2628273","0",""
"1012-2628273","1012-2628272","0",""
"1012-2628338","1012-2628339","0",""
"1012-2628338","1012-2628340","0",""
"1012-2628339","1012-2628338","0",""
"1012-2628339","1012-2628340","0",""
"1012-2628340","1012-2628338","0",""
"1012-2628340","1012-2628339","0",""
"1012-2628358","1012-2628359","0",""
"1012-2628443","1012-2628444","0",""
"1012-2628444","1012-2628443","0",""
"1012-2628464","1012-2628467","0",""
"1012-2628467","1012-2628464","0",""
"1012-2628513","1012-2628516","0",""
"1012-2628513","1012-2628522","0",""
"1012-2628516","1012-2628513","0",""
"1012-2628516","1012-2628519","0",""
"1012-2628516","1012-2628522","0",""
"1012-2628522","1012-2628516","0",""
"1012-2628522","1012-2628519","0",""
"1012-2628522","1012-2628525","0",""
"1012-2628524","1012-2628519","0",""
"1012-2628524","1012-2628525","0",""
"1012-2628525","1012-2628524","0",""
"1012-2628544","1012-2628545","0",""
"1012-2628545","1012-2628544","0",""
"1012-2628546","1012-2628548","0",""
"1012-2628548","1012-2628546","0",""
"1012-2628584","1012-2628588","0",""
"1012-2628585","1012-2628588","0",""
"1012-2628588","1012-2628585","0",""
"1012-2628591","1012-2628592","0",""
"1012-2628598","1012-2628600","0",""
"1012-2628599","1012-2628600","0",""
"1012-2628599","1012-2628601","0",""
"1012-2628600","1012-2628599","0",""
"1012-2628601","1012-2628599","0",""
"1012-2628672","1012-2628671","0",""
"1012-2628674","1012-2628673","0",""
"1012-2628825","1012-2628826","0",""
"1012-2628825","1012-2628827","0",""
"1012-2628826","1012-2628825","0",""
"1012-2628826","1012-2628827","0",""
"1012-2628826","1012-2628828","0",""
"1012-2628827","1012-2628825","0",""
"1012-2628827","1012-2628826","0",""
"1012-2628828","1012-2628826","0",""
"1012-2628828","1012-2628827","0",""
"1012-2628843","1012-2628849","0",""
"1012-2628845","1012-2628844","0",""
"1012-2628846","1012-2628844","0",""
"1012-2628846","1012-2628849","0",""
"1012-2628846","1012-2628853","0",""
"1012-2628846","1012-2628855","0",""
"1012-2628846","1012-2628856","0",""
"1012-2628847","1012-2628846","0",""
"1012-2628847","1012-2628849","0",""
"1012-2628847","1012-2628850","0",""
"1012-2628847","1012-2628853","0",""
"1012-2628847","1012-2628855","0",""
"1012-2628847","1012-2628856","0",""
"1012-2628848","1012-2628844","0",""
"1012-2628848","1012-2628846","0",""
"1012-2628848","1012-2628847","0",""
"1012-2628848","1012-2628852","0",""
"1012-2628849","1012-2628844","0",""
"1012-2628849","1012-2628846","0",""
"1012-2628849","1012-2628847","0",""
"1012-2628849","1012-2628850","0",""
